2170,3,6,4,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,3,3,-1,-1,0,1,-1,0,-1,0,-1,2,-1,-1,3,1","6,1,8,2,7,0,3,0,4,10,6,1,2,7,1,8,1,5,5,6,2,0,5,6"
2169,3,6,4,"-1,-1,-1,1,2,0,-1,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,2,-1,-1,2,-1,-1,-1,-1,-1,-1","1,7,4,1,8,3,6,5,2,0,6,5,4,1,10,7,0,2,3,4,0,10,3,4"
2168,3,8,3,"2,1,0,-1,-1,-1,-1,-1,1,2,-1,0,-1,-1,-1,-1,1,-1,2,2,-1,-1,-1,-1,0,-1,2,2,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,2,0,-1,-1,-1,-1,-1","1,8,2,13,3,7,10,0,5,3,12,1,6,11,5,1,0,9,7,11,1,2,9,5"
2167,3,6,4,"-1,-1,-1,-1,-1,0,3,0,3,-1,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,-1,-1,-1","1,6,10,4,0,3,4,0,9,1,4,6,2,8,4,0,8,2,3,4,1,10,5,1"
2166,3,6,4,"-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,-1,2,1,0,3,3,0,3,1,1,0","0,8,5,2,8,1,6,3,0,8,2,5,5,1,8,1,7,2,4,0,9,5,0,6"
2165,3,6,4,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,-1,-1,1,2,0,2,-1,-1,-1,-1,3,-1,2,3,-1,0","1,8,2,5,8,0,5,0,6,9,0,4,3,7,0,4,7,3,2,6,9,0,2,5"
2164,3,8,3,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,0,2,1,1,2,1,-1,2,1,-1,-1,-1,-1,0,0,1,-1","0,5,11,2,12,5,1,8,4,3,0,13,7,12,5,0,1,2,12,11,5,11,0,2"
2163,3,8,3,"-1,-1,-1,-1,2,0,2,1,-1,-1,-1,-1,1,2,2,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,2,0,2,1,-1,-1,-1,-1,0,2,-1,1,-1,-1,-1,-1,0,-1,1,0","7,5,0,12,9,0,4,7,5,1,8,13,1,3,5,8,6,9,2,0,3,8,10,6"
2162,3,6,4,"-1,-1,-1,-1,-1,-1,2,1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,2,3,-1,3,-1,-1,-1,-1,-1,-1","4,8,2,0,4,6,2,7,0,3,8,4,5,2,1,8,7,1,6,0,3,9,6,0"
2161,3,6,4,"-1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,1,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,0,2,1,1","4,7,1,1,5,6,1,5,10,5,0,3,5,6,0,2,6,5,6,4,2,0,8,4"
